Pair,Date,Member_1,Member_2,Total
2,2020-04-30,1.0,0.0,1.0
2,2020-05-14,3.0,4.0,7.0
2,2020-05-06,4.0,0.0,4.0
2,2020-05-05,0.0,2.0,2.0
2,2020-05-13,4.0,5.0,9.0
2,2020-05-02,2.0,1.0,3.0
2,2020-05-04,3.0,0.0,3.0
2,2020-05-03,0.0,1.0,1.0
3,2020-05-12,8.0,1.0,9.0
3,2020-05-11,5.0,1.0,6.0
3,2020-05-10,2.0,2.0,4.0
3,2020-05-07,2.0,0.0,2.0
3,2020-05-13,5.0,1.0,6.0
3,2020-05-06,2.0,1.0,3.0
3,2020-05-04,3.0,0.0,3.0
3,2020-05-05,1.0,2.0,3.0
4,2020-05-06,3.0,2.0,5.0
4,2020-05-14,0.0,2.0,2.0
4,2020-05-01,2.0,0.0,2.0
4,2020-05-04,1.0,1.0,2.0
4,2020-05-05,3.0,1.0,4.0
4,2020-05-13,2.0,3.0,5.0
5,2020-05-10,2.0,1.0,3.0
5,2020-05-04,2.0,7.0,9.0
5,2020-05-13,0.0,1.0,1.0
6,2020-05-07,3.0,2.0,5.0
6,2020-05-12,0.0,1.0,1.0
6,2020-05-14,1.0,1.0,2.0
7,2020-05-02,1.0,2.0,3.0
7,2020-05-04,3.0,1.0,4.0
7,2020-05-07,4.0,1.0,5.0
7,2020-05-06,0.0,1.0,1.0
7,2020-05-05,0.0,1.0,1.0
8,2020-05-04,4.0,5.0,9.0
8,2020-05-14,0.0,2.0,2.0
8,2020-05-12,0.0,5.0,5.0
8,2020-05-07,1.0,2.0,3.0
8,2020-05-06,6.0,2.0,8.0
9,2020-05-06,0.0,1.0,1.0
9,2020-04-30,7.0,3.0,10.0
9,2020-05-14,0.0,3.0,3.0
9,2020-05-11,3.0,2.0,5.0
9,2020-05-08,1.0,1.0,2.0
9,2020-05-07,0.0,2.0,2.0
9,2020-05-04,1.0,3.0,4.0
9,2020-05-01,4.0,0.0,4.0
10,2020-05-04,2.0,3.0,5.0
10,2020-05-05,2.0,6.0,8.0
10,2020-05-08,3.0,0.0,3.0
10,2020-05-12,1.0,1.0,2.0
10,2020-05-13,2.0,0.0,2.0
10,2020-05-17,0.0,6.0,6.0
10,2020-05-07,7.0,0.0,7.0
11,2020-04-29,2.0,0.0,2.0
11,2020-04-30,4.0,2.0,6.0
11,2020-05-02,1.0,0.0,1.0
