Pair,Date,Member_1,Member_2,Total
2,2020-05-03,0,19,19
2,2020-05-14,565,178,743
2,2020-05-13,201,80,281
2,2020-05-06,349,0,349
2,2020-05-02,21914,16,21930
2,2020-05-04,82,0,82
2,2020-04-30,24,0,24
2,2020-05-05,0,41,41
3,2020-05-12,625,41,666
3,2020-05-11,117,46,163
3,2020-05-10,974,74,1048
3,2020-05-13,1082,11,1093
3,2020-05-06,203,719,922
3,2020-05-05,112,20,132
3,2020-05-07,41,0,41
3,2020-05-04,21910,0,21910
4,2020-05-13,94,119,213
4,2020-05-06,116,31,147
4,2020-05-14,0,38,38
4,2020-05-01,10,0,10
4,2020-05-04,21888,12,21900
4,2020-05-05,64,16,80
5,2020-05-04,47,21873,21920
5,2020-05-10,138,42,180
5,2020-05-13,0,50,50
6,2020-05-07,21534,45,21579
6,2020-05-12,0,70,70
6,2020-05-14,29,21573,21602
7,2020-05-04,18142,18069,36211
7,2020-05-02,23,55,78
7,2020-05-05,0,53,53
7,2020-05-07,93,46,139
7,2020-05-06,0,31,31
8,2020-05-14,980,6,986
8,2020-05-12,19,202,221
8,2020-05-07,187,1021,1208
8,2020-05-06,377,94,471
8,2020-05-04,21926,119,22045
9,2020-05-11,44234,13,44247
9,2020-05-14,0,44084,44084
9,2020-05-07,0,22,22
9,2020-05-06,0,13,13
9,2020-05-04,55,168,223
9,2020-05-01,57,0,57
9,2020-04-30,65734,88,65822
9,2020-05-08,93,19,112
10,2020-05-05,12,41,53
10,2020-05-13,118,0,118
10,2020-05-07,85,0,85
10,2020-05-08,21,0,21
10,2020-05-12,48,43,91
10,2020-05-17,0,104,104
10,2020-05-04,21510,23,21533
11,2020-05-14,430,0,430
11,2020-05-12,21585,0,21585
11,2020-05-11,39,37,76
11,2020-05-08,0,4,4
11,2020-05-02,23,0,23
11,2020-04-30,38,28,66
11,2020-05-15,70404,0,70404
11,2020-05-13,21816,0,21816
11,2020-04-29,21497,0,21497
11,2020-05-16,24,0,24
12,2020-05-07,21814,54,21868
12,2020-05-14,153,66273,66426
12,2020-05-11,63,0,63
12,2020-05-13,18,147,165
12,2020-05-06,10,0,10
12,2020-05-12,58,50,108
12,2020-05-02,21726,159,21885
12,2020-04-30,21479,21504,42983
13,2020-05-05,50,92,142
13,2020-05-06,0,43212,43212
13,2020-05-08,0,143,143
13,2020-05-09,0,60,60
13,2020-05-11,666,0,666
13,2020-05-12,19,605,624
13,2020-05-14,0,38,38
13,2020-05-13,0,4877,4877
13,2020-05-04,21593,21629,43222
14,2020-05-05,0,79,79
14,2020-05-06,70,282,352
14,2020-05-07,0,22407,22407
14,2020-05-12,50,0,50
14,2020-05-13,0,146,146
14,2020-05-14,22140,22378,44518
14,2020-05-04,66,47,113
15,2020-05-14,162,327,489
15,2020-05-15,30,0,30
15,2020-05-11,0,56,56
15,2020-05-13,0,103,103
15,2020-05-01,10,21870,21880
15,2020-05-03,21870,0,21870
15,2020-05-04,51,136,187
15,2020-05-05,0,75,75
15,2020-05-06,17,0,17
15,2020-05-07,49,20,69
16,2020-05-12,20,0,20
16,2020-05-03,21551,0,21551
16,2020-05-05,29,0,29
16,2020-05-07,16,0,16
16,2020-05-13,10,0,10
16,2020-05-14,66,81,147
16,2020-05-16,0,21570,21570
17,2020-05-04,45,0,45
17,2020-05-02,21928,0,21928
17,2020-05-13,22,265,287
17,2020-04-29,21582,0,21582
17,2020-05-06,19,0,19
17,2020-05-01,21647,21580,43227
17,2020-05-07,598,245,843
17,2020-05-12,97,0,97
17,2020-05-08,38,0,38
17,2020-05-10,0,435,435
17,2020-05-11,128,37,165
18,2020-05-01,54,674,728
18,2020-05-13,0,145,145
18,2020-05-12,275,85,360
18,2020-05-11,25,167,192
18,2020-05-05,0,4,4
18,2020-05-02,0,44039,44039
18,2020-04-30,54,69,123
18,2020-04-29,34,21581,21615
19,2020-05-06,78,0,78
19,2020-05-10,103,0,103
19,2020-05-11,2,0,2
19,2020-05-14,84,0,84
