Pair,Date,M1_Additions,M2_Additions,M1_deletions,M2_deletions,Member_1,Member_2,Total
1,2020-05-26,173.0,0.0,0.0,0.0,173.0,0.0,173.0
1,2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-06-01,315.0,0.0,0.0,0.0,315.0,0.0,315.0
1,2020-06-02,229.0,0.0,232.0,0.0,461.0,0.0,461.0
1,2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-06-12,74.0,0.0,279.0,0.0,353.0,0.0,353.0
1,2020-06-13,67.0,0.0,17.0,0.0,84.0,0.0,84.0
1,2020-06-14,250.0,0.0,75.0,0.0,325.0,0.0,325.0
2,2020-06-03,0.0,192.0,0.0,0.0,0.0,192.0,192.0
2,2020-06-04,17.0,0.0,17.0,0.0,34.0,0.0,34.0
2,2020-06-07,0.0,25.0,0.0,9.0,0.0,34.0,34.0
2,2020-06-08,0.0,72.0,0.0,7.0,0.0,79.0,79.0
2,2020-06-09,235.0,39.0,183.0,5.0,418.0,44.0,462.0
2,2020-06-10,66.0,0.0,6.0,0.0,72.0,0.0,72.0
2,2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-05-19,56.0,0.0,0.0,0.0,56.0,0.0,56.0
3,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-06-11,84.0,0.0,23.0,0.0,107.0,0.0,107.0
3,2020-06-08,233.0,31.0,31.0,3.0,264.0,34.0,298.0
3,2020-06-05,232.0,0.0,23.0,0.0,255.0,0.0,255.0
3,2020-06-04,10.0,0.0,1.0,0.0,11.0,0.0,11.0
3,2020-06-10,25.0,11.0,2.0,2.0,27.0,13.0,40.0
3,2020-05-26,36.0,16.0,4.0,2.0,40.0,18.0,58.0
3,2020-05-25,0.0,18.0,0.0,2.0,0.0,20.0,20.0
3,2020-05-20,73.0,0.0,2.0,0.0,75.0,0.0,75.0
3,2020-05-19,90.0,0.0,1.0,0.0,91.0,0.0,91.0
3,2020-06-03,107.0,16.0,96.0,4.0,203.0,20.0,223.0
